,time(minute),티익스프레스,사파리월드,로스트밸리,아마존익스프레스,썬더폴스,콜럼버스대탐험,더블락스핀,랫츠트위스트,롤링엑스트레인,허리케인,챔피온쉽로데오,로얄쥬빌리캐로셀,시크릿쥬쥬비행기,플래쉬팡팡,피터팬,나는코끼리,로보트카,붕붕카,스카이댄싱,매직스윙,비룡열차,우주전투기,레이싱코스터,릴리댄스,플라잉레스큐,슈팅고스트,Unnamed: 27,위도,경도
12,시크릿쥬쥬비행기,14.803075631091643,15.164956504607844,19.83308427173961,15.819162613808189,4.47151187564723,7.241204328186806,2.1786355616520026,7.463031405839828,8.348614084083934,9.910252564862667,8.738309089530683,4.82943893373891,0.0,5.944360998476956,3.5521727389298072,4.199644156084427,4.943465043958387,4.488642869908079,4.725716272923661,2.976489342254879,9.107770959809939,8.015186081121634,4.997369549278916,4.4638864100550455,6.297468686056362,11.249572796544479,,37.2922536,127.193182179037
13,플래쉬팡팡,20.722602987921103,21.08758628738467,25.69349895146553,21.710989791156628,8.39137890127913,10.77729962031532,6.236696472506755,13.095688021165968,13.867514833628759,14.83415713453229,13.338062997275593,10.773400970492979,5.944360998476956,0.0,9.110406196446863,9.841787489465853,1.0089873032326955,1.5413026330479278,2.0523695181867407,8.878919073760581,15.029697787255873,13.933396847054045,4.192566293006716,3.3590793880215335,10.768180363318981,17.171748963356425,,37.2928533999998,127.190442979037
14,피터팬,12.301376132055312,12.148478906418312,16.619289909214952,12.68813802377136,2.852261876429593,4.886754658869259,3.0537588853274986,3.9933276102136763,4.82452494489644,6.423597795107365,5.426802972314104,2.7935481778120996,3.5521727389298072,9.110406196446863,0.0,0.7440249289520335,8.10752535068338,7.800302794785462,8.199061470138167,1.3742796435560907,6.179239511888657,5.103352221081148,6.709681122632175,6.667049483630801,3.3268873750164376,8.274678071815456,,37.2926827000008,127.194791953933
15,나는코끼리,11.598162124748066,11.406115190864577,15.877821208924171,11.944154688213565,3.3305627252931047,5.0070548352890665,3.795304408660933,3.2818077870947384,4.148970745948276,5.931684061462507,5.090313714507443,2.3756491347692705,4.199644156084427,9.841787489465853,0.7440249289520335,0.0,8.837287535560383,8.516244172109815,8.887694319559115,1.5965163411932655,5.449540056682574,4.38084058012514,7.4326427867149345,7.407394153877442,3.278416132408024,7.536731729446014,,37.292615099999,127.195137253938
16,로보트카,19.73324643093476,20.07957916261737,24.685054807939746,20.70200581532855,7.481780045765255,9.943728803342383,5.262372124607331,12.095502885709521,12.875199388123377,13.892615183322315,12.420822414326812,9.772856197457147,4.943465043958387,1.0089873032326955,8.10752535068338,8.837287535560383,0.0,0.7311740268551756,1.6327545752487462,7.871187062913413,14.021951818246455,12.925481880312965,3.6162774064258625,2.686981573266561,9.845000608246893,16.163876433052913,,37.2927949000005,127.190919579036
17,붕붕카,19.21853120636519,19.653585804014412,24.30568362309101,20.301942021809054,7.432911408003593,9.99599310355905,5.0908544954509685,11.793090734071583,12.606628311969766,13.757978440023319,12.336190132908062,9.302600045285502,4.488642869908079,1.5413026330479278,7.800302794785462,8.516244172109815,0.7311740268551756,0.0,1.0153062303395368,7.454762372561291,13.596135242276016,12.502877270580685,4.007753758342899,3.036758528687368,9.75812873682255,15.738093683878148,,37.2925432000001,127.191067979038
18,스카이댄싱,19.21332606085209,19.8098829787589,24.530826815690357,20.500163102186626,8.136948239986639,10.775918035047095,5.7020113073768055,12.167188154043417,13.023526486819819,14.336991412733807,12.975351336714017,9.425278346622644,4.725716272923661,2.0523695181867407,8.199061470138167,8.887694319559115,1.6327545752487462,1.0153062303395368,0.0,7.691734060605908,13.77061466590129,12.687828863729111,5.008349623799469,4.032525430082327,10.407062926131395,15.904756832056243,,37.2921741000001,127.190925779036
19,매직스윙,12.007346360965064,12.20878759161897,16.85693892114224,12.847207955407866,4.03050128813732,6.250553715484626,3.3970824710499463,4.614207308865804,5.562794039324044,7.515890938444523,6.676387111568066,2.0360763070999623,2.976489342254879,8.878919073760581,1.3742796435560907,1.5965163411932655,7.871187062913413,7.454762372561291,7.691734060605908,0.0,6.150788891145575,5.05455758994965,7.110276060717813,6.877767197757581,4.693542299426352,8.292847233047496,,37.2921825,127.194601953935
20,비룡열차,6.239563714460132,6.058516000706203,10.779081898462918,6.73241725407661,8.4421685094932,8.848350006491197,9.224089261675957,3.1217995296640524,3.419460148775887,5.982472934640228,6.695005223619642,4.362925815080324,9.107770959809939,15.029697787255873,6.179239511888657,5.449540056682574,14.021951818246455,13.596135242276016,13.77061466590129,6.150788891145575,0.0022454230851522835,1.0974676174778248,12.881732747095025,12.836148776548535,7.038388173364284,2.1423713330467704,,37.2917123999998,127.197481653938
21,우주전투기,7.241233571979993,7.154229807470896,11.848875717164539,7.812390347180121,7.454163452912673,8.072865603639224,8.140485887453666,2.459493813699187,3.0487983884051566,5.778451797504959,6.219187196848303,3.3043092543036803,8.015186081121634,13.933396847054045,5.103352221081148,4.38084058012514,12.925481880312965,12.502877270580685,12.687828863729111,5.05455758994965,1.0974676174778248,0.0,11.811873934657955,11.750249876783958,6.217646666962769,3.2384045690154863,,37.2918138000008,127.196972853936
22,레이싱코스터,18.999979388613085,18.783033777087415,23.065988633456556,19.2480858806793,4.931107069857603,6.862693669141706,3.727030320119401,10.367620518133144,10.946754891056989,11.347677833090371,9.726649534249903,9.142696652393628,4.997369549278916,4.192566293006716,6.709681122632175,7.4326427867149345,3.6162774064258625,4.007753758342899,5.008349623799469,7.110276060717813,12.881732747095025,11.811873934657955,0.0,0.9791332079741106,7.265931667076154,14.953428717120005,,37.2938890999991,127.191966279037
23,릴리댄스,18.86597435361323,18.81206001035582,23.204191646540657,19.326262197588882,5.280407318304575,7.473979365415108,3.6138317960172555,10.487246297766502,11.138477289629527,11.762171267935093,10.19013470443212,8.910196716872774,4.4638864100550455,3.3590793880215335,6.667049483630801,7.407394153877442,2.686981573266561,3.036758528687368,4.032525430082327,6.877767197757581,12.836148776548535,11.750249876783958,0.9791332079741106,0.0,7.663710898932893,14.941184245372746,,37.2935428000003,127.191794479036
